,ZIP,Latitude,Longitude,City,State,State Name,Population,Density,County,County Population,County Cases,County Deaths,Cases,Deaths,ZHVI,Arts & Entertainment,Event,Nightlife Spot,Outdoors & Recreation,College & University,Travel & Transport,Professional & Other Places,Food,Shop & Service,Residence,School,Medical Center,Hospital,Spiritual Center
613,92705,33.75567,-117.81638999999998,Santa Ana,CA,California,46470,1494,Orange,3170514,20225,376.0,296.0,6.0,974406.0,4,1,12,53,11,6,120,99,167,5,35,152,21,17
614,92706,33.76591,-117.8822,Santa Ana,CA,California,35083,3980,Orange,3170514,20225,376.0,224.0,4.0,676262.0,9,0,4,22,31,25,70,92,121,12,19,62,5,11
615,92707,33.70984,-117.87088,Santa Ana,CA,California,61026,4591,Orange,3170514,20225,376.0,389.0,7.0,574288.0,4,1,6,42,8,34,72,94,155,12,17,79,5,4
616,92708,33.71052,-117.9512,Fountain Valley,CA,California,57416,2364,Orange,3170514,20225,376.0,366.0,7.0,862422.0,6,0,6,45,6,15,118,99,161,7,19,133,16,12
617,92780,33.73402,-117.81916000000001,Tustin,CA,California,61660,3188,Orange,3170514,20225,376.0,393.0,7.0,737456.0,6,1,17,63,13,20,126,128,183,16,38,135,13,18
618,92782,33.73969,-117.78472,Tustin,CA,California,22704,2646,Orange,3170514,20225,376.0,145.0,3.0,830244.0,7,0,7,43,6,2,61,48,129,9,8,27,2,6
619,92801,33.844440000000006,-117.95223,Anaheim,CA,California,67053,3819,Orange,3170514,20225,376.0,428.0,8.0,594610.0,3,0,6,13,23,15,124,107,159,10,29,128,7,27
620,92802,33.808279999999996,-117.92366000000001,Anaheim,CA,California,42248,3627,Orange,3170514,20225,376.0,270.0,5.0,632775.0,40,12,52,84,11,173,92,110,177,15,14,55,5,7
621,92804,33.818259999999995,-117.97503999999999,Anaheim,CA,California,88749,4732,Orange,3170514,20225,376.0,566.0,11.0,627798.0,5,4,14,17,3,28,91,97,157,11,20,70,4,13
622,92805,33.83038,-117.90578000000001,Anaheim,CA,California,74413,4305,Orange,3170514,20225,376.0,475.0,9.0,587674.0,11,0,18,34,17,34,96,101,153,4,32,93,9,22
623,92806,33.83856,-117.87071,Anaheim,CA,California,39719,1851,Orange,3170514,20225,376.0,253.0,5.0,676770.0,6,0,10,24,2,13,75,69,156,6,8,42,3,11
624,92807,33.84967,-117.78921000000001,Anaheim,CA,California,35777,1259,Orange,3170514,20225,376.0,228.0,4.0,770411.0,6,1,6,33,8,8,102,58,125,3,21,70,1,9
625,92808,33.85647,-117.74013000000001,Anaheim,CA,California,20667,1519,Orange,3170514,20225,376.0,132.0,2.0,788086.0,3,0,9,11,10,6,89,38,107,10,7,34,2,6
626,92821,33.92738,-117.88519,Brea,CA,California,37529,1300,Orange,3170514,20225,376.0,239.0,4.0,742000.0,9,0,10,41,5,5,118,78,196,10,15,100,6,8
627,92823,33.92942,-117.80683,Brea,CA,California,4721,129,Orange,3170514,20225,376.0,30.0,1.0,848364.0,0,0,0,1,0,0,4,2,1,1,2,0,0,1
628,92831,33.87973,-117.89635,Fullerton,CA,California,37353,2211,Orange,3170514,20225,376.0,238.0,4.0,681427.0,10,2,6,40,81,22,69,64,105,13,17,57,3,16
629,92832,33.8686,-117.929,Fullerton,CA,California,25134,3408,Orange,3170514,20225,376.0,160.0,3.0,604462.0,27,2,37,58,73,18,101,113,180,8,22,86,5,16
630,92833,33.87927,-117.96173,Fullerton,CA,California,52922,2729,Orange,3170514,20225,376.0,338.0,6.0,643855.0,3,1,9,28,3,3,81,49,107,4,15,20,2,13
631,92835,33.90187,-117.91734,Fullerton,CA,California,23867,1539,Orange,3170514,20225,376.0,152.0,3.0,830745.0,9,0,3,41,4,3,138,34,120,6,17,180,14,9
632,92840,33.78582,-117.93223,Garden Grove,CA,California,55186,4014,Orange,3170514,20225,376.0,352.0,7.0,644724.0,5,0,16,32,8,65,68,127,140,5,18,60,6,14
633,92841,33.78689,-117.98195,Garden Grove,CA,California,34061,2832,Orange,3170514,20225,376.0,217.0,4.0,669882.0,4,1,12,14,4,10,75,89,165,6,16,38,1,10
634,92843,33.76398,-117.93144,Garden Grove,CA,California,46036,4485,Orange,3170514,20225,376.0,294.0,5.0,635518.0,5,1,5,12,9,23,102,97,166,2,21,55,2,15
635,92844,33.76543,-117.96945,Garden Grove,CA,California,23878,4421,Orange,3170514,20225,376.0,152.0,3.0,628505.0,9,0,6,14,7,13,94,149,151,1,14,69,1,10
636,92845,33.78308,-118.02625,Garden Grove,CA,California,16600,2898,Orange,3170514,20225,376.0,106.0,2.0,732355.0,6,0,9,25,8,3,74,48,110,3,16,36,2,5
637,92860,33.924659999999996,-117.55168,Norco,CA,California,26591,751,Riverside,2385120,21957,515.0,245.0,6.0,581183.0,7,2,7,15,18,4,66,42,102,1,11,24,1,6
638,92861,33.81773,-117.81013,Villa Park,CA,California,5872,1062,Orange,3170514,20225,376.0,37.0,1.0,1355400.0,8,1,4,8,4,3,39,9,55,2,11,18,0,5
639,92865,33.82887,-117.84905,Orange,CA,California,20741,1998,Orange,3170514,20225,376.0,132.0,2.0,704665.0,4,0,10,37,4,9,82,68,139,3,16,57,5,10
640,92866,33.78453,-117.84449,Orange,CA,California,15017,2975,Orange,3170514,20225,376.0,96.0,2.0,726600.0,9,1,13,45,107,20,137,97,159,7,32,167,73,29
641,92867,33.81573,-117.82218,Orange,CA,California,44628,2162,Orange,3170514,20225,376.0,285.0,5.0,771349.0,7,2,5,26,7,5,94,96,184,3,17,58,1,5
642,92868,33.78815,-117.8761,Orange,CA,California,27693,2942,Orange,3170514,20225,376.0,177.0,3.0,617343.0,13,1,21,69,45,47,132,110,181,21,15,167,90,9
643,92869,33.79602,-117.78663999999999,Orange,CA,California,36913,1551,Orange,3170514,20225,376.0,235.0,4.0,781224.0,6,1,6,10,20,2,43,18,42,1,10,10,2,8
644,92870,33.880759999999995,-117.85512,Placentia,CA,California,53582,2965,Orange,3170514,20225,376.0,342.0,6.0,733422.0,1,0,5,28,6,4,114,57,159,9,19,103,6,12
645,92879,33.87975,-117.53545,Corona,CA,California,46920,1796,Riverside,2385120,21957,515.0,432.0,10.0,468362.0,3,0,4,33,10,9,93,77,145,6,9,31,3,4
646,92880,33.92078,-117.6097,Corona,CA,California,69720,914,Riverside,2385120,21957,515.0,642.0,15.0,601994.0,0,0,0,6,0,0,6,4,13,1,2,2,0,0
647,92881,33.82397,-117.51997,Corona,CA,California,33996,434,Riverside,2385120,21957,515.0,313.0,7.0,580945.0,5,0,8,13,4,4,45,43,127,6,1,17,1,2
648,92882,33.84194,-117.60423,Corona,CA,California,71581,1019,Riverside,2385120,21957,515.0,659.0,15.0,523961.0,3,0,3,7,1,1,8,2,13,0,4,0,0,1
649,92883,33.754129999999996,-117.47393999999998,Corona,CA,California,35072,204,Riverside,2385120,21957,515.0,323.0,8.0,514764.0,0,1,2,6,2,3,3,4,15,1,1,0,0,0
650,92886,33.89646,-117.79716,Yorba Linda,CA,California,50545,1221,Orange,3170514,20225,376.0,322.0,6.0,854402.0,6,0,3,19,3,1,85,42,104,8,8,53,4,11
