,ZIP,Latitude,Longitude,City,State,State Name,Population,Density,County,County Population,County Cases,County Deaths,Cases,Deaths,ZHVI,Arts & Entertainment,Event,Nightlife Spot,Outdoors & Recreation,College & University,Travel & Transport,Professional & Other Places,Food,Shop & Service,Residence,School,Medical Center,Hospital,Spiritual Center
0,20001,38.91084,-77.0178,Washington,DC,District of Columbia,46716,6817,Washington,684390,10642,564,726.0,38.0,713761.0,84,4,159,165,107,161,152,250,185,109,107,82,35,111
1,20002,38.90511,-76.98437,Washington,DC,District of Columbia,64895,3853,Washington,684390,10642,564,1009.0,53.0,693117.0,33,0,32,100,57,114,101,42,153,46,59,56,3,40
2,20003,38.88125,-76.99056,Washington,DC,District of Columbia,31213,4554,Washington,684390,10642,564,485.0,26.0,827849.0,38,0,45,119,10,113,157,110,149,54,50,109,13,65
3,20004,38.89485,-77.02868000000001,Washington,DC,District of Columbia,1975,1801,Washington,684390,10642,564,31.0,2.0,497145.0,139,3,154,180,131,164,214,248,188,88,102,182,46,84
4,20005,38.90468,-77.0315,Washington,DC,District of Columbia,13222,11576,Washington,684390,10642,564,206.0,11.0,548961.0,138,5,221,201,127,175,210,243,224,129,129,218,67,119
5,20006,38.898590000000006,-77.04134,Washington,DC,District of Columbia,2756,3670,Washington,684390,10642,564,43.0,2.0,258984.0,140,5,199,191,135,193,217,246,183,108,103,220,55,83
6,20007,38.91418,-77.07866,Washington,DC,District of Columbia,27562,3456,Washington,684390,10642,564,429.0,23.0,1106392.0,27,2,31,104,123,88,113,48,184,28,33,113,17,35
7,20008,38.93594,-77.05932,Washington,DC,District of Columbia,29457,3497,Washington,684390,10642,564,458.0,24.0,967853.0,55,1,19,81,48,87,102,114,97,53,35,67,5,32
8,20009,38.91993,-77.03747,Washington,DC,District of Columbia,52117,14097,Washington,684390,10642,564,810.0,43.0,625364.0,102,4,167,182,109,157,153,247,192,121,111,143,26,100
9,20010,38.93237,-77.03003000000001,Washington,DC,District of Columbia,34713,10747,Washington,684390,10642,564,540.0,29.0,733398.0,74,1,123,126,91,120,124,219,167,57,86,147,69,70
10,20011,38.95241,-77.02278000000001,Washington,DC,District of Columbia,68695,4639,Washington,684390,10642,564,1068.0,57.0,689577.0,6,0,24,61,7,67,129,64,181,30,54,31,5,56
11,20012,38.97704,-77.03195,Washington,DC,District of Columbia,16351,2288,Washington,684390,10642,564,254.0,13.0,741741.0,19,1,20,69,23,44,89,75,118,32,23,77,5,23
12,20015,38.966590000000004,-77.05848,Washington,DC,District of Columbia,16395,1717,Washington,684390,10642,564,255.0,14.0,1106269.0,2,0,4,32,4,12,56,17,51,21,10,20,0,9
13,20016,38.93815,-77.09147,Washington,DC,District of Columbia,34783,2830,Washington,684390,10642,564,541.0,29.0,1048173.0,15,0,8,76,106,53,119,78,135,36,33,136,16,28
14,20017,38.93845,-76.99316999999999,Washington,DC,District of Columbia,20450,3092,Washington,684390,10642,564,318.0,17.0,563224.0,15,0,9,40,89,40,93,61,138,24,42,80,22,41
15,20018,38.926120000000004,-76.97272,Washington,DC,District of Columbia,19943,2160,Washington,684390,10642,564,310.0,16.0,581582.0,11,0,24,42,2,28,105,74,154,8,33,29,3,35
16,20019,38.8918,-76.9427,Washington,DC,District of Columbia,62625,3353,Washington,684390,10642,564,974.0,52.0,373846.0,4,0,0,21,5,12,126,28,77,11,33,23,0,44
17,20020,38.8616,-76.97529,Washington,DC,District of Columbia,56131,4175,Washington,684390,10642,564,873.0,46.0,390491.0,11,0,2,31,8,22,126,34,102,33,29,40,4,40
18,20024,38.87826,-77.02758,Washington,DC,District of Columbia,13354,1700,Washington,684390,10642,564,208.0,11.0,517534.0,119,0,38,103,18,87,114,102,59,42,25,37,4,11
19,20032,38.834379999999996,-77.00673,Washington,DC,District of Columbia,42930,2622,Washington,684390,10642,564,668.0,35.0,340476.0,5,0,3,24,7,6,107,34,87,13,30,23,6,17
