,ZIP,Latitude,Longitude,City,State,State Name,Population,Density,County,County Population,County Cases,County Deaths,Cases,Deaths,ZHVI,Arts & Entertainment,Event,Nightlife Spot,Outdoors & Recreation,College & University,Travel & Transport,Professional & Other Places,Food,Shop & Service,Residence,School,Medical Center,Hospital,Spiritual Center
0,32003,30.098129999999998,-81.71255,Fleming Island,FL,Florida,28531,662,Clay,204626,1158,34.0,161.0,5.0,293784.0,6,0,9,25,7,6,134,54,121,4,12,105,3,5
1,32008,29.91651,-82.91313000000001,Branford,FL,Florida,4538,15,Suwannee,43389,673,21.0,70.0,2.0,143148.0,0,0,0,2,0,0,0,3,0,0,0,0,0,0
2,32009,30.419690000000003,-81.97306,Bryceville,FL,Florida,3821,15,Nassau,80498,375,2.0,18.0,0.0,249286.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
3,32011,30.57102,-81.84035,Callahan,FL,Florida,13805,31,Nassau,80498,375,2.0,64.0,0.0,243846.0,2,0,2,4,1,5,28,19,29,0,3,13,0,4
4,32024,30.08055,-82.7264,Lake City,FL,Florida,19378,51,Columbia,69426,392,4.0,109.0,1.0,191293.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
5,32025,30.110740000000003,-82.57600000000001,Lake City,FL,Florida,22374,89,Columbia,69426,392,4.0,126.0,1.0,137619.0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
6,32026,30.05408,-82.18154,Raiford,FL,Florida,1907,1163,Bradford,24631,105,2.0,8.0,0.0,,0,0,0,0,0,0,2,0,0,0,0,0,0,0
7,32033,29.788990000000002,-81.44175,Elkton,FL,Florida,4660,21,St. Johns,235503,1517,9.0,30.0,0.0,252609.0,0,0,0,3,0,0,4,2,1,0,0,1,0,0
8,32034,30.605459999999997,-81.49162,Fernandina Beach,FL,Florida,34928,212,Nassau,80498,375,2.0,163.0,1.0,389139.0,0,0,0,1,0,0,2,0,3,1,0,1,1,1
9,32038,29.938000000000002,-82.70057,Fort White,FL,Florida,10103,34,Columbia,69426,392,4.0,57.0,1.0,178553.0,0,0,1,1,1,0,4,2,1,0,4,0,0,1
10,32040,30.243470000000002,-82.23885,Glen Saint Mary,FL,Florida,7570,25,Baker,27688,120,4.0,33.0,1.0,213271.0,0,0,0,0,0,0,3,1,0,0,0,0,0,0
11,32043,29.93484,-81.72975,Green Cove Springs,FL,Florida,24952,47,Clay,204626,1158,34.0,141.0,4.0,233514.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,32044,29.86109,-82.17456999999999,Hampton,FL,Florida,1824,35,Bradford,24631,105,2.0,8.0,0.0,152725.0,0,0,0,2,0,1,1,0,3,0,0,0,0,0
13,32046,30.70318,-81.91856999999999,Hilliard,FL,Florida,9426,19,Nassau,80498,375,2.0,44.0,0.0,216083.0,1,0,0,2,0,1,13,6,6,0,0,6,1,3
14,32052,30.47855,-82.93597,Jasper,FL,Florida,9704,13,Hamilton,15022,405,2.0,262.0,1.0,91404.0,0,0,1,1,2,0,9,1,0,0,7,0,0,1
15,32053,30.568170000000002,-83.13104,Jennings,FL,Florida,3139,13,Hamilton,15022,405,2.0,85.0,0.0,137814.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,32054,30.027459999999998,-82.39275,Lake Butler,FL,Florida,11724,23,Union,15621,99,2.0,74.0,2.0,149780.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
17,32055,30.270190000000003,-82.62538,Lake City,FL,Florida,17114,35,Columbia,69426,392,4.0,97.0,1.0,120510.0,0,0,0,1,0,0,0,3,2,0,0,0,0,0
18,32058,30.08338,-82.10829,Lawtey,FL,Florida,4585,24,Bradford,24631,105,2.0,20.0,0.0,125949.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,32059,30.38386,-83.2711,Lee,FL,Florida,2465,8,Madison,19212,273,4.0,35.0,1.0,136666.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,32060,30.27522,-83.04974,Live Oak,FL,Florida,23768,21,Suwannee,43389,673,21.0,369.0,12.0,163413.0,0,0,0,1,0,0,0,0,1,1,0,0,0,0
21,32061,30.097559999999998,-82.51029,Lulu,FL,Florida,457,5,Columbia,69426,392,4.0,3.0,0.0,134182.0,0,0,0,0,0,0,1,0,1,0,0,0,0,1
22,32062,30.1334,-82.98043,Mc Alpin,FL,Florida,2085,16,Suwannee,43389,673,21.0,32.0,1.0,184071.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,32063,30.246779999999998,-82.11208,Macclenny,FL,Florida,13840,51,Baker,27688,120,4.0,60.0,2.0,200062.0,0,0,1,0,0,7,4,6,9,0,0,1,0,1
24,32064,30.295659999999998,-82.98443,Live Oak,FL,Florida,6888,342,Suwannee,43389,673,21.0,107.0,3.0,88724.0,1,0,5,5,2,3,35,18,64,3,7,11,2,6
25,32065,30.1492,-81.80122,Orange Park,FL,Florida,37160,731,Clay,204626,1158,34.0,210.0,6.0,234465.0,0,0,0,2,7,0,2,0,3,0,2,0,0,0
26,32066,30.03678,-83.23398,Mayo,FL,Florida,7664,11,Lafayette,7664,48,0.0,48.0,0.0,137291.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,32068,30.078940000000003,-81.88322,Middleburg,FL,Florida,57226,195,Clay,204626,1158,34.0,324.0,10.0,220105.0,1,0,3,2,0,3,18,21,37,1,0,4,1,3
28,32071,30.04167,-82.94442,O Brien,FL,Florida,3856,14,Suwannee,43389,673,21.0,60.0,2.0,158855.0,0,0,0,1,0,0,3,0,0,0,0,0,0,1
29,32072,30.18845,-82.42275,Olustee,FL,Florida,299,5,Baker,27688,120,4.0,1.0,0.0,71825.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,32073,30.17026,-81.73935999999999,Orange Park,FL,Florida,41863,911,Clay,204626,1158,34.0,237.0,7.0,210550.0,5,0,5,12,7,12,130,66,168,6,9,150,9,8
31,32079,29.978409999999997,-81.80594,Penney Farms,FL,Florida,461,336,Clay,204626,1158,34.0,3.0,0.0,,0,0,0,0,0,0,4,0,2,0,0,0,0,0
32,32080,29.82548,-81.2745,Saint Augustine,FL,Florida,21943,501,St. Johns,235503,1517,9.0,141.0,1.0,361079.0,0,1,3,11,0,10,15,20,51,5,2,6,1,0
33,32081,30.12037,-81.41284,Ponte Vedra,FL,Florida,13266,46,St. Johns,235503,1517,9.0,85.0,1.0,424160.0,1,0,3,15,9,0,27,14,29,6,4,19,0,3
34,32082,30.1254,-81.36595,Ponte Vedra Beach,FL,Florida,30898,337,St. Johns,235503,1517,9.0,199.0,1.0,548066.0,0,0,0,1,0,3,3,3,6,0,0,0,0,0
35,32083,30.092159999999996,-82.23421,Raiford,FL,Florida,3563,46,Union,15621,99,2.0,23.0,0.0,104349.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,32084,29.917370000000002,-81.368,Saint Augustine,FL,Florida,34892,241,St. Johns,235503,1517,9.0,225.0,1.0,235518.0,2,0,2,3,7,4,11,8,27,5,1,2,0,2
37,32086,29.75675,-81.30311,Saint Augustine,FL,Florida,29568,144,St. Johns,235503,1517,9.0,190.0,1.0,249696.0,1,0,1,2,0,1,6,4,5,0,0,1,0,3
38,32087,30.39041,-82.2851,Sanderson,FL,Florida,5979,16,Baker,27688,120,4.0,26.0,1.0,117986.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39,32091,29.93119,-82.12548000000001,Starke,FL,Florida,15311,45,Bradford,24631,105,2.0,65.0,1.0,127699.0,2,0,2,6,0,3,7,23,41,1,0,6,2,2
40,32092,29.934070000000002,-81.51364000000001,Saint Augustine,FL,Florida,34642,87,St. Johns,235503,1517,9.0,223.0,1.0,313664.0,0,0,2,4,0,0,5,1,11,4,3,1,0,1
41,32094,30.19602,-82.82961,Wellborn,FL,Florida,2254,19,Suwannee,43389,673,21.0,35.0,1.0,159612.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42,32095,30.011020000000002,-81.41077,Saint Augustine,FL,Florida,10006,57,St. Johns,235503,1517,9.0,64.0,0.0,365134.0,0,0,0,4,0,2,9,6,17,1,0,6,0,1
43,32096,30.43954,-82.69984000000001,White Springs,FL,Florida,2179,7,Hamilton,15022,405,2.0,59.0,0.0,108642.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44,32097,30.663790000000002,-81.62966,Yulee,FL,Florida,18518,46,Nassau,80498,375,2.0,86.0,0.0,244993.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
45,32102,29.1468,-81.56166,Astor,FL,Florida,2195,16,Lake,352274,2087,25.0,13.0,0.0,184191.0,0,0,2,2,0,1,3,1,1,0,0,1,0,0
46,32110,29.42168,-81.33934,Bunnell,FL,Florida,8009,12,Flagler,104962,424,5.0,32.0,0.0,157807.0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
47,32112,29.427190000000003,-81.55792,Crescent City,FL,Florida,8054,57,Putnam,81166,593,6.0,59.0,1.0,132917.0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
48,32113,29.399540000000002,-82.08145999999999,Citra,FL,Florida,5366,32,Marion,332273,1111,12.0,18.0,0.0,157256.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49,32114,29.19395,-81.05145999999999,Daytona Beach,FL,Florida,32923,733,Volusia,530886,3070,62.0,190.0,4.0,129478.0,9,0,5,19,105,34,113,52,174,4,14,84,6,5
50,32117,29.23532,-81.06566,Daytona Beach,FL,Florida,24602,827,Volusia,530886,3070,62.0,142.0,3.0,150697.0,5,0,4,3,3,6,32,10,82,5,5,9,1,4
51,32118,29.21055,-81.00437,Daytona Beach,FL,Florida,17349,1546,Volusia,530886,3070,62.0,100.0,2.0,236294.0,8,2,33,34,6,40,76,59,159,10,4,18,1,1
52,32119,29.160009999999996,-81.02685,Daytona Beach,FL,Florida,22398,992,Volusia,530886,3070,62.0,130.0,3.0,185910.0,12,0,8,18,4,5,80,33,123,9,6,43,0,9
53,32124,29.1654,-81.14927,Daytona Beach,FL,Florida,5823,52,Volusia,530886,3070,62.0,34.0,1.0,269934.0,0,0,0,0,0,0,2,0,1,0,0,0,0,0
54,32127,29.1067,-80.97645,Port Orange,FL,Florida,30415,717,Volusia,530886,3070,62.0,176.0,4.0,261392.0,2,0,8,4,0,6,11,8,23,1,1,6,2,3
55,32128,29.09798,-81.07406,Port Orange,FL,Florida,19806,196,Volusia,530886,3070,62.0,115.0,2.0,307891.0,0,0,0,3,0,0,3,1,4,0,0,0,0,1
56,32129,29.137109999999996,-81.02401,Port Orange,FL,Florida,22149,1045,Volusia,530886,3070,62.0,128.0,3.0,208083.0,4,0,7,26,7,2,98,26,66,3,2,67,1,4
57,32130,29.15571,-81.34467,De Leon Springs,FL,Florida,5581,23,Volusia,530886,3070,62.0,32.0,1.0,207515.0,0,0,0,1,0,0,2,0,3,0,0,0,0,0
58,32131,29.6814,-81.57014000000001,East Palatka,FL,Florida,4560,54,Putnam,81166,593,6.0,33.0,0.0,175799.0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
59,32132,28.976770000000002,-80.9256,Edgewater,FL,Florida,7514,374,Volusia,530886,3070,62.0,43.0,1.0,188384.0,2,0,0,2,0,3,5,1,8,0,2,1,0,1
60,32133,29.02018,-81.90951,Eastlake Weir,FL,Florida,34,150,Marion,332273,1111,12.0,0.0,0.0,201491.0,0,0,0,2,0,0,1,0,0,0,0,0,0,0
61,32134,29.38284,-81.83704,Fort Mc Coy,FL,Florida,7376,13,Marion,332273,1111,12.0,25.0,0.0,89151.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62,32136,29.452440000000003,-81.1409,Flagler Beach,FL,Florida,7933,146,Flagler,104962,424,5.0,32.0,0.0,327648.0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
63,32137,29.579729999999998,-81.22269,Palm Coast,FL,Florida,43813,248,Flagler,104962,424,5.0,177.0,2.0,265861.0,0,0,2,2,2,2,8,4,20,3,2,1,0,4
64,32139,29.37619,-81.61591999999999,Georgetown,FL,Florida,854,37,Putnam,81166,593,6.0,6.0,0.0,141658.0,0,0,0,1,0,1,1,0,0,1,0,0,0,0
65,32140,29.759240000000002,-81.86791,Florahome,FL,Florida,1393,25,Putnam,81166,593,6.0,10.0,0.0,141975.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
66,32141,28.923040000000004,-80.90101,Edgewater,FL,Florida,18828,289,Volusia,530886,3070,62.0,109.0,2.0,201271.0,1,0,0,1,0,1,1,0,2,0,0,0,0,0
67,32145,29.67783,-81.42201,Hastings,FL,Florida,5659,23,St. Johns,235503,1517,9.0,36.0,0.0,159631.0,0,0,0,0,0,0,1,0,2,1,0,0,0,1
68,32147,29.602840000000004,-81.78616,Hollister,FL,Florida,556,14,Putnam,81166,593,6.0,4.0,0.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
69,32148,29.60797,-81.88407,Interlachen,FL,Florida,10450,52,Putnam,81166,593,6.0,76.0,1.0,110228.0,0,0,0,0,0,0,2,3,2,0,1,1,0,0
70,32157,29.4681,-81.57883000000001,Lake Como,FL,Florida,202,101,Putnam,81166,593,6.0,1.0,0.0,,0,0,0,1,0,1,3,0,0,0,0,0,0,1
71,32159,28.9258,-81.90290999999999,Lady Lake,FL,Florida,30135,351,Lake,352274,2087,25.0,179.0,2.0,238204.0,1,0,0,3,0,0,1,2,4,0,0,1,0,1
72,32162,28.916970000000003,-81.99285,The Villages,FL,Florida,54530,752,Sumter,122274,516,18.0,230.0,8.0,291408.0,0,0,3,10,1,7,27,11,24,5,0,23,0,0
73,32164,29.4841,-81.2179,Palm Coast,FL,Florida,45207,483,Flagler,104962,424,5.0,183.0,2.0,218707.0,4,0,3,10,3,7,25,15,65,0,5,12,0,3
74,32168,28.973679999999998,-81.02745,New Smyrna Beach,FL,Florida,27186,56,Volusia,530886,3070,62.0,157.0,3.0,252437.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
75,32169,28.976979999999998,-80.87265,New Smyrna Beach,FL,Florida,10502,259,Volusia,530886,3070,62.0,61.0,1.0,395582.0,0,0,0,3,0,3,4,1,2,3,0,0,0,0
76,32174,29.285420000000002,-81.16355,Ormond Beach,FL,Florida,50869,149,Volusia,530886,3070,62.0,294.0,6.0,263773.0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
77,32176,29.32552,-81.06034,Ormond Beach,FL,Florida,14629,1055,Volusia,530886,3070,62.0,85.0,2.0,263294.0,2,0,5,8,2,11,11,19,32,7,1,2,0,1
78,32177,29.691209999999998,-81.71137,Palatka,FL,Florida,26377,44,Putnam,81166,593,6.0,193.0,2.0,122609.0,0,0,0,1,0,0,3,0,2,0,0,0,0,1
79,32179,29.08858,-81.88793000000001,Ocklawaha,FL,Florida,8075,46,Marion,332273,1111,12.0,27.0,0.0,134816.0,0,0,0,0,0,0,0,1,3,0,0,0,0,0
80,32180,29.22332,-81.44498,Pierson,FL,Florida,3934,16,Volusia,530886,3070,62.0,23.0,0.0,203857.0,0,0,0,1,0,0,2,1,0,0,0,0,0,0
81,32181,29.504009999999997,-81.60011999999999,Pomona Park,FL,Florida,2268,40,Putnam,81166,593,6.0,17.0,0.0,143791.0,0,0,0,3,2,0,6,3,4,0,0,0,1,0
82,32187,29.57759,-81.55405999999999,San Mateo,FL,Florida,2186,28,Putnam,81166,593,6.0,16.0,0.0,146375.0,0,0,0,1,0,0,1,0,2,0,0,0,0,0
83,32189,29.5556,-81.65122,Satsuma,FL,Florida,5611,92,Putnam,81166,593,6.0,41.0,0.0,125199.0,0,0,0,1,0,1,5,1,8,0,0,0,0,0
84,32190,29.34158,-81.48553000000001,Seville,FL,Florida,1089,15,Volusia,530886,3070,62.0,6.0,0.0,168706.0,0,0,1,1,0,0,1,0,1,0,0,0,0,0
85,32193,29.49057,-81.65292,Welaka,FL,Florida,718,41,Putnam,81166,593,6.0,5.0,0.0,178203.0,0,0,0,2,0,0,1,0,2,0,0,0,0,1
86,32195,28.985870000000002,-81.90181,Weirsdale,FL,Florida,2986,61,Marion,332273,1111,12.0,10.0,0.0,239989.0,1,0,0,0,0,0,2,0,1,0,0,1,1,0
87,32202,30.325029999999998,-81.64801999999999,Jacksonville,FL,Florida,6165,1540,Duval,925686,10439,70.0,70.0,0.0,91122.0,28,2,40,97,28,68,148,71,204,9,13,140,49,27
88,32204,30.31648,-81.68074,Jacksonville,FL,Florida,7507,983,Duval,925686,10439,70.0,85.0,1.0,260086.0,12,0,33,40,6,28,103,0,124,0,13,145,70,17
89,32205,30.302870000000002,-81.72202,Jacksonville,FL,Florida,29499,1436,Duval,925686,10439,70.0,333.0,2.0,186003.0,5,0,20,32,21,9,65,52,149,5,13,35,1,17
90,32206,30.350540000000002,-81.6384,Jacksonville,FL,Florida,16500,1107,Duval,925686,10439,70.0,186.0,1.0,63114.0,7,0,7,6,2,5,66,22,64,2,11,27,1,8
91,32207,30.29,-81.63996999999999,Jacksonville,FL,Florida,35917,1116,Duval,925686,10439,70.0,405.0,3.0,192492.0,5,0,5,20,10,9,81,35,146,9,10,42,4,13
92,32208,30.39343,-81.68255,Jacksonville,FL,Florida,32194,1026,Duval,925686,10439,70.0,363.0,2.0,110567.0,3,0,4,3,1,4,48,19,46,2,2,25,2,9
93,32209,30.361040000000003,-81.6955,Jacksonville,FL,Florida,35436,1419,Duval,925686,10439,70.0,400.0,3.0,62473.0,4,0,2,6,3,0,39,15,25,4,7,5,1,8
94,32210,30.26558,-81.74464,Jacksonville,FL,Florida,61496,1132,Duval,925686,10439,70.0,693.0,5.0,158769.0,11,0,14,10,5,6,55,35,115,11,7,26,2,2
95,32211,30.33267,-81.58405,Jacksonville,FL,Florida,34607,1427,Duval,925686,10439,70.0,390.0,3.0,168164.0,4,0,9,10,5,2,71,18,86,15,18,25,3,13
96,32212,30.219079999999998,-81.67891999999999,Jacksonville,FL,Florida,2499,143,Duval,925686,10439,70.0,28.0,0.0,,0,0,8,16,5,9,40,9,11,4,1,12,8,2
97,32216,30.27876,-81.58313000000001,Jacksonville,FL,Florida,38073,1070,Duval,925686,10439,70.0,429.0,3.0,185351.0,4,0,8,14,5,3,72,30,69,1,10,73,6,8
98,32217,30.23919,-81.62723000000001,Jacksonville,FL,Florida,19411,1376,Duval,925686,10439,70.0,219.0,1.0,226506.0,7,0,4,19,6,6,29,5,34,4,10,11,2,3
99,32218,30.48665,-81.66922,Jacksonville,FL,Florida,61846,214,Duval,925686,10439,70.0,697.0,5.0,202337.0,4,0,4,2,1,71,41,19,22,0,0,2,0,1
100,32219,30.430459999999997,-81.79383,Jacksonville,FL,Florida,11931,86,Duval,925686,10439,70.0,135.0,1.0,184111.0,0,0,0,1,0,0,1,1,3,0,0,0,0,0
101,32220,30.350440000000003,-81.86666,Jacksonville,FL,Florida,13179,82,Duval,925686,10439,70.0,149.0,1.0,197107.0,0,0,0,4,0,0,0,0,0,0,0,0,0,0
102,32221,30.25635,-81.85417,Jacksonville,FL,Florida,30227,300,Duval,925686,10439,70.0,341.0,2.0,205750.0,0,0,3,4,1,1,3,2,3,2,1,0,0,3
103,32222,30.216820000000002,-81.82881,Jacksonville,FL,Florida,9772,291,Duval,925686,10439,70.0,110.0,1.0,224100.0,0,0,0,3,1,0,7,3,14,2,1,3,0,1
104,32223,30.15489,-81.64815,Jacksonville,FL,Florida,24039,804,Duval,925686,10439,70.0,271.0,2.0,289005.0,3,0,9,14,6,8,102,27,72,5,6,72,2,6
105,32224,30.27027,-81.46795999999999,Jacksonville,FL,Florida,43751,711,Duval,925686,10439,70.0,493.0,3.0,327666.0,6,1,6,16,6,3,57,26,53,11,5,35,4,3
106,32225,30.357509999999998,-81.50601999999999,Jacksonville,FL,Florida,54496,767,Duval,925686,10439,70.0,615.0,4.0,257882.0,6,0,3,19,3,2,38,12,34,10,8,16,1,6
107,32226,30.46439,-81.50976999999999,Jacksonville,FL,Florida,16013,72,Duval,925686,10439,70.0,181.0,1.0,261320.0,0,0,0,2,0,0,1,0,2,0,0,0,0,1
108,32227,30.39003,-81.40722,Jacksonville,FL,Florida,3087,751,Duval,925686,10439,70.0,35.0,0.0,,0,0,5,14,2,14,39,11,3,3,2,4,1,4
109,32228,30.39156,-81.40018,Jacksonville,FL,Florida,368,937,Duval,925686,10439,70.0,4.0,0.0,,0,0,5,15,2,12,37,11,8,2,1,4,1,2
110,32233,30.3585,-81.42111,Atlantic Beach,FL,Florida,24473,896,Duval,925686,10439,70.0,276.0,2.0,313665.0,1,0,6,5,5,10,25,22,36,4,5,5,0,3
111,32234,30.214570000000002,-81.98375,Jacksonville,FL,Florida,5780,20,Duval,925686,10439,70.0,65.0,0.0,194090.0,0,0,0,0,0,0,3,2,0,0,0,0,0,0
112,32244,30.217909999999996,-81.75347,Jacksonville,FL,Florida,60712,939,Duval,925686,10439,70.0,685.0,5.0,179330.0,5,0,1,4,7,10,29,8,48,7,2,6,2,7
113,32246,30.294,-81.51796999999999,Jacksonville,FL,Florida,51275,994,Duval,925686,10439,70.0,578.0,4.0,220855.0,5,0,5,24,40,8,95,38,166,11,9,47,2,5
114,32250,30.278109999999998,-81.40904,Jacksonville Beach,FL,Florida,26956,1135,Duval,925686,10439,70.0,304.0,2.0,395103.0,4,0,10,55,3,5,91,39,131,3,7,94,8,6
115,32254,30.34157,-81.73586,Jacksonville,FL,Florida,13039,423,Duval,925686,10439,70.0,147.0,1.0,75978.0,0,0,3,11,3,3,61,16,65,0,6,8,1,3
116,32256,30.187829999999998,-81.50041,Jacksonville,FL,Florida,45688,234,Duval,925686,10439,70.0,515.0,3.0,221536.0,1,0,0,3,10,1,10,1,2,3,1,0,0,0
117,32257,30.195190000000004,-81.61233,Jacksonville,FL,Florida,38651,1150,Duval,925686,10439,70.0,436.0,3.0,241942.0,6,0,7,25,4,7,106,54,171,9,9,104,10,7
118,32258,30.13755,-81.54844,Jacksonville,FL,Florida,31990,550,Duval,925686,10439,70.0,361.0,2.0,268026.0,9,0,4,10,4,7,104,32,62,3,2,76,11,2
119,32259,30.07586,-81.58724000000001,Saint Johns,FL,Florida,49969,261,St. Johns,235503,1517,9.0,322.0,2.0,356219.0,0,0,0,4,0,1,3,1,4,3,0,1,1,0
120,32266,30.31645,-81.41176999999999,Neptune Beach,FL,Florida,7080,1163,Duval,925686,10439,70.0,80.0,1.0,476936.0,4,0,17,41,13,9,98,57,153,4,10,34,2,14
121,32277,30.37275,-81.59459,Jacksonville,FL,Florida,32029,1592,Duval,925686,10439,70.0,361.0,2.0,197231.0,3,0,2,12,2,1,20,6,42,7,6,7,1,4
122,32301,30.425620000000002,-84.2582,Tallahassee,FL,Florida,30712,1095,Leon,288076,1955,8.0,208.0,1.0,142740.0,7,0,7,21,4,17,60,60,172,4,4,36,3,5
123,32303,30.51435,-84.34363,Tallahassee,FL,Florida,50436,516,Leon,288076,1955,8.0,342.0,1.0,156423.0,9,0,2,7,3,4,14,5,30,4,2,4,0,3
124,32304,30.45362,-84.35157,Tallahassee,FL,Florida,47787,1138,Leon,288076,1955,8.0,324.0,1.0,97954.0,2,0,5,7,50,8,52,26,97,9,4,13,1,11
125,32305,30.334,-84.28707,Tallahassee,FL,Florida,20659,87,Leon,288076,1955,8.0,140.0,1.0,111442.0,0,0,0,0,0,0,2,1,5,0,0,1,0,0
126,32308,30.477109999999996,-84.22457,Tallahassee,FL,Florida,22441,565,Leon,288076,1955,8.0,152.0,1.0,238786.0,3,0,4,15,3,11,139,41,113,6,10,165,12,6
127,32309,30.56622,-84.09823,Tallahassee,FL,Florida,31610,105,Leon,288076,1955,8.0,215.0,1.0,276460.0,1,0,0,1,0,0,1,0,0,0,0,0,0,0
128,32310,30.39473,-84.51185,Tallahassee,FL,Florida,15864,64,Leon,288076,1955,8.0,108.0,0.0,98894.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
129,32311,30.40038,-84.16254,Tallahassee,FL,Florida,21038,152,Leon,288076,1955,8.0,143.0,1.0,219703.0,0,0,0,1,0,0,0,1,1,0,0,0,0,0
130,32312,30.60551,-84.22893,Tallahassee,FL,Florida,32864,118,Leon,288076,1955,8.0,223.0,1.0,316528.0,1,0,1,7,10,1,3,4,4,0,3,1,0,0
131,32317,30.46508,-84.1128,Tallahassee,FL,Florida,14665,142,Leon,288076,1955,8.0,100.0,0.0,289501.0,1,0,1,2,0,1,1,1,4,0,0,0,0,0
132,32320,29.73685,-85.0901,Apalachicola,FL,Florida,3832,38,Franklin,11438,19,0.0,6.0,0.0,176733.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
133,32321,30.260440000000003,-84.98132,Bristol,FL,Florida,6277,7,Liberty,8365,249,1.0,187.0,1.0,122413.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
134,32322,29.902040000000003,-84.63887,Carrabelle,FL,Florida,4152,22,Franklin,11438,19,0.0,7.0,0.0,185103.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
135,32323,29.8933,-84.61289000000001,Lanark Village,FL,Florida,422,11,Franklin,11438,19,0.0,1.0,0.0,58254.0,0,0,0,0,0,0,1,0,0,0,0,1,1,0
