,ZIP,Latitude,Longitude,City,State,State Name,Population,Density,County,County Population,County Cases,County Deaths,Cases,Deaths,ZHVI,Arts & Entertainment,Event,Nightlife Spot,Outdoors & Recreation,College & University,Travel & Transport,Professional & Other Places,Food,Shop & Service,Residence,School,Medical Center,Hospital,Spiritual Center
402,8201,39.42237,-74.49507,Absecon,NJ,New Jersey,9908,678,Atlantic,268320,2962,224.0,109.0,8.0,182961.0,5,0,5,8,4,9,23,24,37,4,6,10,0,4
403,8202,39.10018,-74.73873,Avalon,NJ,New Jersey,1495,88,Cape May,94353,718,76.0,11.0,1.0,1644948.0,5,0,4,27,0,7,16,35,36,4,1,4,0,5
404,8203,39.41277,-74.38011999999999,Brigantine,NJ,New Jersey,8966,556,Atlantic,268320,2962,224.0,99.0,7.0,328974.0,1,0,6,19,2,4,11,10,17,3,2,5,0,3
405,8204,38.9732,-74.92005999999999,Cape May,NJ,New Jersey,18608,358,Cape May,94353,718,76.0,142.0,15.0,377934.0,5,0,6,12,4,8,18,11,28,4,7,3,2,4
406,8205,39.47457,-74.45745,Absecon,NJ,New Jersey,27630,261,Atlantic,268320,2962,224.0,305.0,23.0,191277.0,2,0,3,4,1,2,25,8,28,0,0,19,0,1
407,8210,39.11719,-74.82352,Cape May Court House,NJ,New Jersey,16413,97,Cape May,94353,718,76.0,125.0,13.0,258619.0,0,0,0,7,3,1,4,5,3,0,0,2,0,0
408,8212,38.93571,-74.95421999999999,Cape May Point,NJ,New Jersey,188,135,Cape May,94353,718,76.0,1.0,0.0,830998.0,6,0,3,22,0,4,12,7,11,0,0,0,0,0
409,8215,39.58253,-74.58154,Egg Harbor City,NJ,New Jersey,13528,45,Atlantic,268320,2962,224.0,149.0,11.0,180862.0,0,0,0,2,0,0,2,0,0,0,0,0,0,0
410,8217,39.57535,-74.71848,Elwood,NJ,New Jersey,25,584,Atlantic,268320,2962,224.0,0.0,0.0,,1,0,4,5,0,3,5,2,5,1,0,2,0,3
411,8221,39.34343,-74.57068000000001,Linwood,NJ,New Jersey,6826,713,Atlantic,268320,2962,224.0,75.0,6.0,262884.0,5,0,4,14,5,2,116,17,69,0,7,87,3,0
412,8223,39.27017,-74.65709,Marmora,NJ,New Jersey,4185,123,Cape May,94353,718,76.0,32.0,3.0,268078.0,1,0,4,7,3,4,42,12,37,0,2,26,2,3
413,8224,39.59857,-74.45979,New Gretna,NJ,New Jersey,538,47,Burlington,441390,5306,441.0,6.0,1.0,234325.0,1,0,0,4,0,3,5,6,5,0,1,0,0,1
414,8225,39.36396,-74.54079,Northfield,NJ,New Jersey,8344,537,Atlantic,268320,2962,224.0,92.0,7.0,207210.0,3,0,3,6,1,3,82,18,0,1,2,50,0,4
415,8226,39.26859,-74.60158,Ocean City,NJ,New Jersey,11202,676,Cape May,94353,718,76.0,85.0,9.0,628913.0,5,1,6,38,0,6,19,22,34,4,0,10,0,4
416,8230,39.21268,-74.7174,Ocean View,NJ,New Jersey,5342,172,Cape May,94353,718,76.0,41.0,4.0,282973.0,2,0,2,8,0,4,10,11,21,0,0,5,0,2
417,8232,39.38769,-74.51489000000001,Pleasantville,NJ,New Jersey,19403,1272,Atlantic,268320,2962,224.0,214.0,16.0,123548.0,2,0,4,3,3,9,29,0,80,0,1,13,0,3
418,8234,39.38657,-74.62376,Egg Harbor Township,NJ,New Jersey,42081,271,Atlantic,268320,2962,224.0,465.0,35.0,226081.0,2,0,3,11,4,2,14,5,18,3,4,3,0,5
