,ZIP,Latitude,Longitude,City,State,State Name,Population,Density,County,County Population,County Cases,County Deaths,Cases,Deaths,ZHVI,Arts & Entertainment,Event,Nightlife Spot,Outdoors & Recreation,College & University,Travel & Transport,Professional & Other Places,Food,Shop & Service,Residence,School,Medical Center,Hospital,Spiritual Center
1637,14610,43.14258,-77.54548,Rochester,NY,New York,14050,1269,Monroe,744305,4004,245.0,76.0,5.0,203427.0,11,0,12,38,10,5,75,29,98,9,14,24,3,17
1638,14611,43.1475,-77.64723000000001,Rochester,NY,New York,16630,2321,Monroe,744305,4004,245.0,89.0,5.0,67374.0,2,0,5,13,4,10,93,33,119,9,15,55,5,20
1639,14612,43.26572,-77.6761,Rochester,NY,New York,34259,784,Monroe,744305,4004,245.0,184.0,11.0,164044.0,3,0,2,2,2,7,49,11,13,3,4,34,1,1
1640,14613,43.18225,-77.64045,Rochester,NY,New York,13578,3113,Monroe,744305,4004,245.0,73.0,4.0,82511.0,5,1,6,14,8,10,63,23,114,4,20,7,1,6
1641,14614,43.157540000000004,-77.61503,Rochester,NY,New York,1232,1946,Monroe,744305,4004,245.0,7.0,0.0,249633.0,59,3,60,69,45,42,136,109,162,14,36,109,5,43
1642,14615,43.20344,-77.656,Rochester,NY,New York,16613,1077,Monroe,744305,4004,245.0,89.0,5.0,107557.0,1,0,16,17,5,22,87,32,109,4,6,37,2,4
1643,14616,43.23464,-77.65749,Rochester,NY,New York,27616,1855,Monroe,744305,4004,245.0,149.0,9.0,124397.0,9,0,3,6,15,5,43,31,85,2,11,10,1,10
1644,14617,43.22509,-77.59363,Rochester,NY,New York,22589,1145,Monroe,744305,4004,245.0,122.0,7.0,154963.0,5,0,5,5,2,4,55,16,42,1,11,23,0,3
1645,14618,43.113,-77.55536,Rochester,NY,New York,22602,915,Monroe,744305,4004,245.0,122.0,7.0,245148.0,9,0,8,30,7,11,134,42,194,5,19,118,2,5
1646,14619,43.13615,-77.64896999999999,Rochester,NY,New York,14602,3912,Monroe,744305,4004,245.0,79.0,5.0,102337.0,3,0,14,30,86,42,92,47,99,9,13,49,4,16
1647,14620,43.12892,-77.60518,Rochester,NY,New York,24542,2168,Monroe,744305,4004,245.0,132.0,8.0,174308.0,9,1,16,31,68,15,126,68,113,12,15,159,56,21
1648,14621,43.18971,-77.60370999999999,Rochester,NY,New York,33264,3166,Monroe,744305,4004,245.0,179.0,11.0,62323.0,23,0,12,17,6,8,166,45,149,14,21,195,23,19
1649,14622,43.21386,-77.55399,Rochester,NY,New York,11976,1017,Monroe,744305,4004,245.0,64.0,4.0,135667.0,5,0,5,13,6,2,48,22,62,4,6,25,2,7
1650,14623,43.08846,-77.6424,Rochester,NY,New York,25917,550,Monroe,744305,4004,245.0,139.0,9.0,149649.0,5,1,6,19,13,20,65,67,193,7,2,21,0,1
1651,14624,43.127390000000005,-77.7323,Rochester,NY,New York,35885,502,Monroe,744305,4004,245.0,193.0,12.0,154172.0,1,0,1,3,3,3,35,8,28,6,5,13,2,7
1652,14625,43.148990000000005,-77.50534,Rochester,NY,New York,10122,526,Monroe,744305,4004,245.0,54.0,3.0,220269.0,5,0,2,11,1,1,35,12,52,2,9,6,0,5
1653,14626,43.21431,-77.71382,Rochester,NY,New York,29901,851,Monroe,744305,4004,245.0,161.0,10.0,162458.0,5,0,8,13,2,5,92,37,178,4,6,54,1,5
1654,14627,43.128609999999995,-77.62917,Rochester,NY,New York,2360,5822,Monroe,744305,4004,245.0,13.0,1.0,,5,0,8,45,90,14,140,50,92,5,19,165,44,16
1655,14701,42.07881,-79.25735,Jamestown,NY,New York,39731,171,Chautauqua,128206,149,3.0,46.0,1.0,75330.0,2,0,2,6,1,1,19,4,18,1,3,9,2,5
1656,14706,42.1133,-78.52577,Allegany,NY,New York,6189,32,Cattaraugus,73887,130,6.0,11.0,1.0,117871.0,0,0,0,1,0,1,3,1,1,4,0,0,0,1
1657,14707,42.07738,-78.06053,Allentown,NY,New York,152,47,Allegany,46107,64,2.0,0.0,0.0,35416.0,0,1,0,1,0,4,7,1,1,0,0,0,0,0
