,ZIP,Latitude,Longitude,City,State,State Name,Population,Density,County,County Population,County Cases,County Deaths,Cases,Deaths,ZHVI,Arts & Entertainment,Event,Nightlife Spot,Outdoors & Recreation,College & University,Travel & Transport,Professional & Other Places,Food,Shop & Service,Residence,School,Medical Center,Hospital,Spiritual Center
407,98850,47.3076,-120.07755,Rock Island,WA,Washington,1881,27,Douglas,40256,325,3.0,15.0,0.0,252372.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
408,98851,47.42069,-119.42515,Soap Lake,WA,Washington,4295,10,Grant,94077,720,6.0,33.0,0.0,188967.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
409,98852,48.25281,-120.55118,Stehekin,WA,Washington,15,1,Chelan,75789,482,6.0,0.0,0.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
410,98853,47.461999999999996,-119.26026,Stratford,WA,Washington,16,2,Grant,94077,720,6.0,0.0,0.0,185733.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
411,98855,48.67535,-119.27048,Tonasket,WA,Washington,5870,4,Okanogan,42187,160,2.0,22.0,0.0,200802.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
412,98856,48.37294,-120.25318,Twisp,WA,Washington,2724,3,Okanogan,42187,160,2.0,10.0,0.0,324156.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
413,98857,46.98565,-119.05068,Warden,WA,Washington,3637,10,Grant,94077,720,6.0,28.0,0.0,161538.0,0,0,0,1,0,1,3,1,1,0,0,1,0,0
414,98858,47.64654,-119.90885,Waterville,WA,Washington,1842,2,Douglas,40256,325,3.0,15.0,0.0,211016.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
415,98859,48.80235,-118.91408999999999,Wauconda,WA,Washington,178,1,Okanogan,42187,160,2.0,1.0,0.0,193730.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
416,98860,47.46882,-119.16391999999999,Wilson Creek,WA,Washington,250,2,Grant,94077,720,6.0,2.0,0.0,122328.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
417,98862,48.58163,-120.28825,Winthrop,WA,Washington,2277,2,Okanogan,42187,160,2.0,9.0,0.0,440891.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
418,98901,46.69318,-120.41528000000001,Yakima,WA,Washington,32204,100,Yakima,250440,7753,174.0,997.0,22.0,221854.0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
419,98902,46.59666,-120.53373,Yakima,WA,Washington,46490,1981,Yakima,250440,7753,174.0,1439.0,32.0,203889.0,3,1,7,9,13,4,104,34,134,2,11,61,2,9
